[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv64-32 --kdir /mnt/m2data/linux-worktrees/v6.17 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv64-v6.17
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv64-v6.17
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv64-v6.17
Detected kernel version: 6.17.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=False, abi='rv32', compat=True, ...)
[D] compat_sys_call_table[43]: Symbol("__riscv_compat_sys_statfs64" at 0xffffffff802cb9a0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[44]: Symbol("__riscv_compat_sys_fstatfs64" at 0xffffffff802cba5c, type=FUNC, size=0x1c)
[D] compat_sys_call_table[45]: Symbol("__riscv_compat_sys_truncate64" at 0xffffffff8028026c, type=FUNC, size=0x22)
[D] compat_sys_call_table[46]: Symbol("__riscv_compat_sys_ftruncate64" at 0xffffffff80280290, type=FUNC, size=0x24)
[D] compat_sys_call_table[47]: Symbol("__riscv_compat_sys_fallocate" at 0xffffffff802803b0, type=FUNC, size=0x92)
[D] compat_sys_call_table[48]: Symbol("__riscv_sys_faccessat" at 0xffffffff80280444, type=FUNC, size=0x1e)
[D] compat_sys_call_table[49]: Symbol("__riscv_sys_chdir" at 0xffffffff802804a4, type=FUNC, size=0xb2)
[D] compat_sys_call_table[50]: Symbol("__riscv_sys_fchdir" at 0xffffffff80280558, type=FUNC, size=0x94)
[D] compat_sys_call_table[51]: Symbol("__riscv_sys_chroot" at 0xffffffff802805ec, type=FUNC, size=0xde)
[D] compat_sys_call_table[52]: Symbol("__riscv_sys_fchmod" at 0xffffffff80280870, type=FUNC, size=0x8c)
[D] compat_sys_call_table[53]: Symbol("__riscv_sys_fchmodat" at 0xffffffff802809c4, type=FUNC, size=0x9c)
[D] compat_sys_call_table[54]: Symbol("__riscv_sys_fchownat" at 0xffffffff80280ddc, type=FUNC, size=0x20)
[D] compat_sys_call_table[55]: Symbol("__riscv_sys_fchown" at 0xffffffff80280f0c, type=FUNC, size=0x74)
[D] compat_sys_call_table[56]: Symbol("__riscv_sys_openat" at 0xffffffff802816c4, type=FUNC, size=0x88)
[D] compat_sys_call_table[57]: Symbol("__riscv_sys_close" at 0xffffffff80281990, type=FUNC, size=0x5a)
[D] compat_sys_call_table[58]: Symbol("__riscv_sys_vhangup" at 0xffffffff802819ec, type=FUNC, size=0x2a)
[D] compat_sys_call_table[59]: Symbol("__riscv_sys_pipe2" at 0xffffffff8029041c, type=FUNC, size=0x1a)
[D] compat_sys_call_table[60]: Symbol("__riscv_sys_quotactl" at 0xffffffff8030ea3c, type=FUNC, size=0x348)
[D] compat_sys_call_table[61]: Symbol("__riscv_sys_getdents64" at 0xffffffff8029bd88, type=FUNC, size=0x17a)
[D] compat_sys_call_table[62]: Symbol("__riscv_sys_llseek" at 0xffffffff802832ac, type=FUNC, size=0xdc)
[D] compat_sys_call_table[63]: Symbol("__riscv_sys_read" at 0xffffffff80284188, type=FUNC, size=0x1c)
[D] compat_sys_call_table[64]: Symbol("__riscv_sys_write" at 0xffffffff80284264, type=FUNC, size=0x1c)
[D] compat_sys_call_table[65]: Symbol("__riscv_sys_readv" at 0xffffffff80284618, type=FUNC, size=0x1e)
[D] compat_sys_call_table[66]: Symbol("__riscv_sys_writev" at 0xffffffff80284638, type=FUNC, size=0x1e)
[D] compat_sys_call_table[67]: Symbol("__riscv_compat_sys_pread64" at 0xffffffff802843a0, type=FUNC, size=0xaa)
[D] compat_sys_call_table[68]: Symbol("__riscv_compat_sys_pwrite64" at 0xffffffff8028456c, type=FUNC, size=0xaa)
[D] compat_sys_call_table[69]: Symbol("__riscv_compat_sys_preadv" at 0xffffffff80284818, type=FUNC, size=0xb4)
[D] compat_sys_call_table[70]: Symbol("__riscv_compat_sys_pwritev" at 0xffffffff8028490c, type=FUNC, size=0xb4)
[D] compat_sys_call_table[71]: Symbol("__riscv_sys_sendfile64" at 0xffffffff80284bf0, type=FUNC, size=0x14c)
[D] compat_sys_call_table[72]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
[D] compat_sys_call_table[73]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
